"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"1",1,"Base_Test1_204","Test1",2,24,"right","female","5","17","Word vs Med FW","gopibu.wav","golabu.wav",NA,1,1.10108532403706,"Familiar",5,1,1338,1,"Medial","Word vs FW",-27.5809554551323
"2",2,"Base_Test1_204","Test1",2,24,"right","female","1","22","Word vs Med FW","bidaku.wav","bipiku.wav",NA,2,1.14212436080289,"Familiar",1,2,996,1,"Medial","Word vs FW",-26.5809554551323
"3",3,"Base_Test1_204","Test1",2,24,"right","female","1","51","PW vs Fin FW","pirogo.wav","tupiti.wav",2,3,1.35174727276499,"Familiar",1,3,1583,1,"Final","PW vs FW",-25.5809554551323
"4",4,"Base_Test1_204","Test1",2,24,"right","female","1","49","PW vs Fin FW","labupa.wav","golati.wav",2,1,0.296611514613159,"Familiar",1,4,1112,1,"Final","PW vs FW",-24.5809554551323
"5",5,"Base_Test1_204","Test1",2,24,"right","female","5","12","Word vs In FW","godoti.wav","padoti.wav",NA,4,-0.355968481618047,"Familiar",5,5,1110,1,"Initial","Word vs FW",-23.5809554551323
"6",6,"Base_Test1_204","Test1",2,24,"right","female","5","28","Word vs Fin FW","padobu.wav","padoti.wav",NA,4,0.296611514613159,"Familiar",5,6,1068,1,"Final","Word vs FW",-22.5809554551323
"7",7,"Base_Test1_204","Test1",2,24,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Familiar",1,7,1602,1,NA,"Word vs PW",-21.5809554551323
"8",8,"Base_Test1_204","Test1",2,24,"right","female","1","29","Word vs Fin FW","golabu.wav","golaku.wav",NA,1,-1.34526988854491,"Familiar",1,8,1131,1,"Final","Word vs FW",-20.5809554551323
"9",9,"Base_Test1_204","Test1",2,24,"right","female","5","18","Word vs Med FW","bilaku.wav","bidaku.wav",NA,2,-1.60739314711274,"Familiar",1,9,1726,0,"Medial","Word vs FW",-19.5809554551323
"10",10,"Base_Test1_204","Test1",2,24,"right","female","5","19","Word vs Med FW","tularo.wav","tupiro.wav",NA,3,1.10108532403706,"Familiar",1,10,1313,0,"Medial","Word vs FW",-18.5809554551323
