"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"1",12153,"Base_NNL_801","NNL",1,17,"right","female","1","47","PW vs Med FW","labupa.wav","gopibu.wav",2,1,0.681696431891337,"Unfamiliar",1,1,1294,1,"Medial","PW vs FW",-27.5809554551323
"2",12154,"Base_NNL_801","NNL",1,17,"right","female","5","37","PW vs In FW","tulabu.wav","labubi.wav",2,1,-0.539772457704594,"Unfamiliar",1,2,1523,0,"Initial","PW vs FW",-26.5809554551323
"3",12155,"Base_NNL_801","NNL",1,17,"right","female","1","9","Word vs In FW","golabu.wav","bilabu.wav",NA,1,-1.23434873110733,"Unfamiliar",5,3,1101,0,"Initial","Word vs FW",-25.5809554551323
"4",12156,"Base_NNL_801","NNL",1,17,"right","female","1","20","Word vs Med FW","padoti.wav","padati.wav",NA,4,1.5060831821829,"Unfamiliar",1,4,1484,1,"Medial","Word vs FW",-24.5809554551323
"5",12157,"Base_NNL_801","NNL",1,17,"right","female","1","56","PW vs Fin FW","dotigo.wav","padobu.wav",2,4,1.07824849447084,"Unfamiliar",1,5,1206,1,"Final","PW vs FW",-23.5809554551323
"6",12158,"Base_NNL_801","NNL",1,17,"right","female","5","13","Word vs In FW","tulabu.wav","golabu.wav",NA,1,-0.539772457704594,"Unfamiliar",5,6,1482,1,"Initial","Word vs FW",-22.5809554551323
"7",12159,"Base_NNL_801","NNL",1,17,"right","female","5","54","PW vs Fin FW","tupiti.wav","pirogo.wav",2,3,0.820638616656125,"Unfamiliar",1,7,1561,0,"Final","PW vs FW",-21.5809554551323
"8",12160,"Base_NNL_801","NNL",1,17,"right","female","5","35","PW vs In FW","tudoti.wav","kupado.wav",1,4,0.429540957672635,"Unfamiliar",1,8,1750,0,"Initial","PW vs FW",-20.5809554551323
"9",12161,"Base_NNL_801","NNL",1,17,"right","female","1","44","PW vs Med FW","ropado.wav","padati.wav",1,4,1.5060831821829,"Unfamiliar",1,9,1676,1,"Medial","PW vs FW",-19.5809554551323
"10",12162,"Base_NNL_801","NNL",1,17,"right","female","5","41","PW vs Med FW","godabu.wav","kugola.wav",1,1,-1.31107860864913,"Unfamiliar",1,10,1256,0,"Medial","PW vs FW",-18.5809554551323
