"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"1",9297,"Base_SNL_1101","SNL",1,25,"left","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,4,1734,0,NA,"Word vs PW",-24.5809554551323
"2",9298,"Base_SNL_1101","SNL",1,25,"left","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,8,1553,1,NA,"Word vs PW",-20.5809554551323
"3",9299,"Base_SNL_1101","SNL",1,25,"left","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,11,1357,1,NA,"Word vs PW",-17.5809554551323
"4",9300,"Base_SNL_1101","SNL",1,25,"left","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,24,1506,1,NA,"Word vs PW",-4.58095545513234
"5",9301,"Base_SNL_1101","SNL",1,25,"left","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,25,1920,1,NA,"Word vs PW",-3.58095545513234
"6",9302,"Base_SNL_1101","SNL",1,25,"left","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,37,1497,1,NA,"Word vs PW",8.41904454486766
"7",9303,"Base_SNL_1101","SNL",1,25,"left","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,51,1343,1,NA,"Word vs PW",22.4190445448677
"8",9304,"Base_SNL_1101","SNL",1,25,"left","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,52,1225,1,NA,"Word vs PW",23.4190445448677
"9",9305,"Base_SNL_1102","SNL",2,22,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,4,2491,0,NA,"Word vs PW",-24.5809554551323
"10",9306,"Base_SNL_1102","SNL",2,22,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,8,1021,1,NA,"Word vs PW",-20.5809554551323
"11",9307,"Base_SNL_1102","SNL",2,22,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",1,9,1093,0,NA,"Word vs PW",-19.5809554551323
"12",9308,"Base_SNL_1102","SNL",2,22,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,18,1318,1,NA,"Word vs PW",-10.5809554551323
"13",9309,"Base_SNL_1102","SNL",2,22,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,26,927,0,NA,"Word vs PW",-2.58095545513234
"14",9310,"Base_SNL_1102","SNL",2,22,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,29,1164,1,NA,"Word vs PW",0.419044544867656
"15",9311,"Base_SNL_1102","SNL",2,22,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,41,3779,0,NA,"Word vs PW",12.4190445448677
"16",9312,"Base_SNL_1102","SNL",2,22,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,52,1848,1,NA,"Word vs PW",23.4190445448677
"17",9313,"Base_SNL_1201","SNL",1,18,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,3,2068,1,NA,"Word vs PW",-25.5809554551323
"18",9314,"Base_SNL_1201","SNL",1,18,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,11,2291,0,NA,"Word vs PW",-17.5809554551323
"19",9315,"Base_SNL_1201","SNL",1,18,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,22,1822,0,NA,"Word vs PW",-6.58095545513234
"20",9316,"Base_SNL_1201","SNL",1,18,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",5,23,2301,0,NA,"Word vs PW",-5.58095545513234
"21",9317,"Base_SNL_1201","SNL",1,18,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,31,1781,1,NA,"Word vs PW",2.41904454486766
"22",9318,"Base_SNL_1201","SNL",1,18,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",1,34,4222,0,NA,"Word vs PW",5.41904454486766
"23",9319,"Base_SNL_1201","SNL",1,18,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,35,2453,1,NA,"Word vs PW",6.41904454486766
"24",9320,"Base_SNL_1201","SNL",1,18,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,40,1554,0,NA,"Word vs PW",11.4190445448677
"25",9321,"Base_SNL_1202","SNL",2,22,"right","male","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,21,1399,1,NA,"Word vs PW",-7.58095545513234
"26",9322,"Base_SNL_1202","SNL",2,22,"right","male","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,22,1546,1,NA,"Word vs PW",-6.58095545513234
"27",9323,"Base_SNL_1202","SNL",2,22,"right","male","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,24,2545,0,NA,"Word vs PW",-4.58095545513234
"28",9324,"Base_SNL_1202","SNL",2,22,"right","male","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,41,897,1,NA,"Word vs PW",12.4190445448677
"29",9325,"Base_SNL_1202","SNL",2,22,"right","male","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",5,45,1029,0,NA,"Word vs PW",16.4190445448677
"30",9326,"Base_SNL_1202","SNL",2,22,"right","male","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,46,2537,0,NA,"Word vs PW",17.4190445448677
"31",9327,"Base_SNL_1202","SNL",2,22,"right","male","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,52,1168,1,NA,"Word vs PW",23.4190445448677
"32",9328,"Base_SNL_1202","SNL",2,22,"right","male","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",1,56,1289,0,NA,"Word vs PW",27.4190445448677
"33",9329,"Base_SNL_1203","SNL",1,20,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,5,1010,1,NA,"Word vs PW",-23.5809554551323
"34",9330,"Base_SNL_1203","SNL",1,20,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",5,7,982,1,NA,"Word vs PW",-21.5809554551323
"35",9331,"Base_SNL_1203","SNL",1,20,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,19,1019,1,NA,"Word vs PW",-9.58095545513234
"36",9332,"Base_SNL_1203","SNL",1,20,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,22,1003,1,NA,"Word vs PW",-6.58095545513234
"37",9333,"Base_SNL_1203","SNL",1,20,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,34,936,1,NA,"Word vs PW",5.41904454486766
"38",9334,"Base_SNL_1203","SNL",1,20,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,39,1410,1,NA,"Word vs PW",10.4190445448677
"39",9335,"Base_SNL_1203","SNL",1,20,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,46,1256,0,NA,"Word vs PW",17.4190445448677
"40",9336,"Base_SNL_1203","SNL",1,20,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,47,1273,0,NA,"Word vs PW",18.4190445448677
"41",9337,"Base_SNL_1204","SNL",2,21,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,4,1165,1,NA,"Word vs PW",-24.5809554551323
"42",9338,"Base_SNL_1204","SNL",2,21,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,13,1062,1,NA,"Word vs PW",-15.5809554551323
"43",9339,"Base_SNL_1204","SNL",2,21,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,17,1383,1,NA,"Word vs PW",-11.5809554551323
"44",9340,"Base_SNL_1204","SNL",2,21,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",5,31,1685,0,NA,"Word vs PW",2.41904454486766
